Date,Open,High,Low,Close,Volume
07/29/2022,"113.40","116.90","113.23","116.64","31,336,180"
07/28/2022,"112.80","114.70","111.85","114.59","23,303,840"
07/27/2022,"109.60","114.40","108.42","113.60","41,474,621"
07/26/2022,"107.43","107.74","104.76","105.44","36,626,633"
07/25/2022,"108.88","110.58","107.01","108.21","28,289,939"
07/22/2022,"111.81","113.18","107.60","108.36","44,455,301"
07/21/2022,"115.09","115.21","111.91","115.04","27,267,850"
07/20/2022,"114.06","116.33","113.26","114.70","26,780,090"
07/19/2022,"111.73","114.81","110.50","114.62","30,992,330"
07/18/2022,"113.44","114.80","109.30","109.91","33,353,988"
07/15/2022,"112.96","114.00","111.82","112.77","34,330,760"
07/14/2022,"110.83","111.99","109.33","111.44","32,365,540"
07/13/2022,"112.64","115.16","111.82","112.19","38,958,860"
07/12/2022,"116.84","117.85","114.62","114.85","24,970,160"
07/11/2022,"118.65","118.79","116.23","116.52","26,830,460"
07/08/2022,"117.55","120.44","117.51","120.17","29,082,200"
07/07/2022,"116.01","119.86","115.53","119.31","32,183,940"
07/06/2022,"114.09","116.35","112.25","115.21","28,852,680"
07/05/2022,"107.51","114.05","106.25","113.89","36,429,380"
07/01/2022,"108.34","109.81","107.11","109.08","31,027,880"
06/30/2022,"110.50","111.33","107.31","109.37","38,046,040"
06/29/2022,"112.15","113.66","111.55","112.26","18,627,860"
