#https://www.CryptoDataDownload.com
#unix,date,symbol,open,high,low,close,Volume LTC,Volume BTC,tradecount
1659312000000,2022-08-01 00:00:00,LTC/BTC,0.00256300,0.00256500,0.00255000,0.00256300,1063.96300000,2.72099070,587
1659308400000,2022-07-31 23:00:00,LTC/BTC,0.00257000,0.00257500,0.00255800,0.00256500,1989.58900000,5.10403139,933
1659304800000,2022-07-31 22:00:00,LTC/BTC,0.00260900,0.00261100,0.00256700,0.00257000,5743.37200000,14.84955581,1806
1659301200000,2022-07-31 21:00:00,LTC/BTC,0.00261200,0.00263200,0.00260900,0.00261000,1880.47200000,4.92501805,946
1659297600000,2022-07-31 20:00:00,LTC/BTC,0.00259700,0.00261200,0.00259600,0.00261200,1712.77700000,4.45731275,606
1659294000000,2022-07-31 19:00:00,LTC/BTC,0.00259700,0.00261400,0.00259400,0.00259700,2483.66800000,6.46481858,1025
1659290400000,2022-07-31 18:00:00,LTC/BTC,0.00261700,0.00262600,0.00257400,0.00259700,7228.71400000,18.79903670,2508
1659286800000,2022-07-31 17:00:00,LTC/BTC,0.00260800,0.00262300,0.00260400,0.00261700,3759.84700000,9.82184376,1065
1659283200000,2022-07-31 16:00:00,LTC/BTC,0.00258800,0.00261500,0.00258700,0.00260800,2458.18800000,6.39545930,851
1659279600000,2022-07-31 15:00:00,LTC/BTC,0.00259200,0.00259700,0.00258700,0.00258700,1463.48400000,3.79152582,560
1659276000000,2022-07-31 14:00:00,LTC/BTC,0.00258000,0.00261100,0.00257700,0.00259200,3148.93500000,8.16674055,1360
1659272400000,2022-07-31 13:00:00,LTC/BTC,0.00259000,0.00259100,0.00257700,0.00258000,1869.87700000,4.83034442,744
1659268800000,2022-07-31 12:00:00,LTC/BTC,0.00258400,0.00259000,0.00257700,0.00259000,1157.64400000,2.98924555,504
1659265200000,2022-07-31 11:00:00,LTC/BTC,0.00258800,0.00259100,0.00257600,0.00258400,3652.98900000,9.43507264,1031
1659261600000,2022-07-31 10:00:00,LTC/BTC,0.00257900,0.00259000,0.00257600,0.00258600,1730.56500000,4.46753614,578
1659258000000,2022-07-31 09:00:00,LTC/BTC,0.00257100,0.00257900,0.00256800,0.00257800,1900.85300000,4.89221797,526
1659254400000,2022-07-31 08:00:00,LTC/BTC,0.00257800,0.00258500,0.00256900,0.00257300,1542.09000000,3.97208097,711
1659250800000,2022-07-31 07:00:00,LTC/BTC,0.00257900,0.00258700,0.00257600,0.00257900,1362.85900000,3.51738809,498
1659247200000,2022-07-31 06:00:00,LTC/BTC,0.00257100,0.00258100,0.00256900,0.00258000,1464.65300000,3.77042007,516
1659243600000,2022-07-31 05:00:00,LTC/BTC,0.00258000,0.00258100,0.00257000,0.00257200,1290.63900000,3.32425604,526
1659240000000,2022-07-31 04:00:00,LTC/BTC,0.00256700,0.00258700,0.00256600,0.00258100,1418.42300000,3.65654586,638
1659236400000,2022-07-31 03:00:00,LTC/BTC,0.00257200,0.00257400,0.00256000,0.00256600,1922.53700000,4.92961221,536
1659232800000,2022-07-31 02:00:00,LTC/BTC,0.00257000,0.00257500,0.00256000,0.00257200,855.53400000,2.19591853,444
1659229200000,2022-07-31 01:00:00,LTC/BTC,0.00256800,0.00257400,0.00256300,0.00256900,2423.55100000,6.22808254,789
1659225600000,2022-07-31 00:00:00,LTC/BTC,0.00255500,0.00258700,0.00254900,0.00256900,4733.10900000,12.14442548,1594
1659222000000,2022-07-30 23:00:00,LTC/BTC,0.00256800,0.00257000,0.00253900,0.00255500,5314.24000000,13.55543765,1516
1659218400000,2022-07-30 22:00:00,LTC/BTC,0.00258100,0.00258800,0.00256600,0.00256800,3393.70100000,8.74414660,1268
1659214800000,2022-07-30 21:00:00,LTC/BTC,0.00257700,0.00259100,0.00257500,0.00258100,1397.03300000,3.60837659,614
1659211200000,2022-07-30 20:00:00,LTC/BTC,0.00258000,0.00258700,0.00257500,0.00257600,2243.74800000,5.79007938,752
1659207600000,2022-07-30 19:00:00,LTC/BTC,0.00258600,0.00258700,0.00256700,0.00258000,11065.25900000,28.54791180,1577
1659204000000,2022-07-30 18:00:00,LTC/BTC,0.00259900,0.00260200,0.00258100,0.00258800,2564.22900000,6.64246342,653
1659200400000,2022-07-30 17:00:00,LTC/BTC,0.00257000,0.00260200,0.00256600,0.00259900,5903.44000000,15.27625304,1515
1659196800000,2022-07-30 16:00:00,LTC/BTC,0.00257900,0.00258300,0.00256800,0.00257000,2655.55600000,6.84157924,933
